"Envelope","Name","PostDate","FullType","FundCode","Description","Amount","Reference","GiftDescription","Value","SName","IndvID"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","01/08/2018","Check","1","General Pledge","$10.00","1351","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","01/14/2018","Check","1","General Pledge","$10.00","1354","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","01/21/2018","Check","1","General Pledge","$10.00","1355","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","01/29/2018","Check","1","General Pledge","$10.00","1357","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","04/23/2018","Check","1","General Pledge","$10.00","1372","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","05/20/2018","Check","1","General Pledge","$10.00","1382","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","06/10/2018","Check","1","General Pledge","$10.00","1389","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","06/11/2018","Check","1","General Pledge","$10.00","1385","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","07/01/2018","Check","1","General Pledge","$10.00","1397","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","07/22/2018","Check","1","General Pledge","$10.00","1410","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","08/26/2018","Check","1","General Pledge","$10.00","1421","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","09/30/2018","Check","1","General Pledge","$5.00","1440","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","10/21/2018","Check","1","General Pledge","$10.00","1434","","$0.00","REDACTED","REDACTED"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","10/21/2018","Check","80","Daughters of the King","$16.00","1433","shoes","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","01/05/2018","Check","1","General Pledge","$415.00","","draft 010518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","02/05/2018","ACH","1","General Pledge","$415.00","","draft 020518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","03/07/2018","ACH","1","General Pledge","$415.00","","draft 030518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","04/06/2018","ACH","1","General Pledge","$415.00","","draft 040518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","05/07/2018","Check","1","General Pledge","$415.00","","draft 050718","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","06/06/2018","Check","1","General Pledge","$415.00","","draft 060518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","07/05/2018","ACH","1","General Pledge","$415.00","","draft 070518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","08/06/2018","ACH","1","General Pledge","$415.00","","draft 080518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","09/05/2018","ACH","1","General Pledge","$415.00","","draft 090518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","10/05/2018","Check","1","General Pledge","$415.00","","draft 100518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","10/21/2018","Check","80","Daughters of the King","$80.00","1390","shoes","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","11/05/2018","ACH","1","General Pledge","$415.00","","draft 110518","$0.00","REDACTED","REDACTED"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","12/05/2018","ACH","1","General Pledge","$415.00","","draft 120518","$0.00","REDACTED","REDACTED"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","02/11/2018","Check","1","General Pledge","$5.00","103","","$0.00","REDACTED","REDACTED"
