"Envelope","Name","FundCode","Description","NonPledgePTD","Pledge","CPledgePTD","OPledgePTD","PrePay","Balance","SName","Year"
"REDACTED","52fa24cae33e415af09ddd310c5581b6","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","1","General Pledge","$0.00","$5,000.00","$5,000.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","556e5da0e5e4cea34273b6d8a765ae96","108","Restoration & Repair Fund","$0.00","$1,000.00","$1,000.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","36c0ebec8e6264db4da3b13672174c91","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","1","General Pledge","$0.00","$1,500.00","$1,770.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","11","Christmas Offering","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b00ae19552e4853f8e3facab768c31f4","104","Outreach Agency","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","3adc489cde945bc827fe8f5a34cea9d9","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","6edf47f1f021b2d84076c81f8a4b6fd4","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","98d2512484c067c9914cd341e6bdace4","1","General Pledge","$0.00","$9,000.00","$9,000.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","98d2512484c067c9914cd341e6bdace4","77","Pass Through","$55.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","98d2512484c067c9914cd341e6bdace4","82","Good Friday Offering","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","98d2512484c067c9914cd341e6bdace4","104","Outreach Agency","$250.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","98d2512484c067c9914cd341e6bdace4","106","Seminary loan","$500.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","1","General Pledge","$700.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","cc5cca7ecc39fdd55f1bf1163b5ebe40","108","Restoration & Repair Fund","$0.00","$100.00","$100.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b82e020fcec82644ad7ea794f1806cc8","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","1","General Pledge","$0.00","$5,040.00","$5,040.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","5","Memorial Fund","$1,200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","6","Mead Hall","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","14","Christmas Memorials","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","27","Altar Guild","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","65","Samaritan's Purse","$21.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","80","Daughters of the King","$35.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","104","Outreach Agency","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","106","Seminary loan","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","82a0830cf74d8db9b25b0b2de28ec92e","108","Restoration & Repair Fund","$700.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","db9c9a409dc9d05f4850cb38ca6a1052","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","1","General Pledge","$0.00","$480.00","$480.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","3669aa19c54661f6ee4b49b28bb1fec8","108","Restoration & Repair Fund","$0.00","$140.00","$0.00","$0.00","$0.00","$140.00","REDACTED","2010"
"REDACTED","0882e96f730aa24a1165e085e3ee93a4","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","92efb9454ba2719f4d8c413cc740eeb8","1","General Pledge","$35.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","92efb9454ba2719f4d8c413cc740eeb8","104","Outreach Agency","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","4c405eee3c1187b743ba28eae740d372","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","13c8d014dc165d0e411ffcde772f6a39","1","General Pledge","$0.00","$4,260.00","$1,285.00","$0.00","$0.00","$2,975.00","REDACTED","2010"
"REDACTED","13c8d014dc165d0e411ffcde772f6a39","11","Christmas Offering","$55.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","da2c676b9ebd3d80a729fdfd2e24144e","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","2fbfc14ecf0d4d152f668acb643687a9","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","c41ac1017d7340ff80995778c3b275e0","1","General Pledge","$1,150.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","c41ac1017d7340ff80995778c3b275e0","11","Christmas Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","c41ac1017d7340ff80995778c3b275e0","108","Restoration & Repair Fund","$300.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","650b45c4293f614aa438aaff53f10611","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","458bb29168a6f1e896afa7487d5ca837","1","General Pledge","$260.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","85fea2bbfc27d7550af4a525be239ce2","1","General Pledge","$0.00","$600.00","$600.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","85fea2bbfc27d7550af4a525be239ce2","27","Altar Guild","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","34d052cae3cac04fe3ce507e410e9f8a","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","1","General Pledge","$1,200.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","7647d91b36778df24f2b7c70c0bcae1a","108","Restoration & Repair Fund","$0.00","$0.00","$0.00","$500.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","07b878237917c188723fd1636e610d0f","1","General Pledge","$0.00","$3,000.00","$3,000.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","07b878237917c188723fd1636e610d0f","65","Samaritan's Purse","$14.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","07b878237917c188723fd1636e610d0f","80","Daughters of the King","$35.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","07b878237917c188723fd1636e610d0f","108","Restoration & Repair Fund","$0.00","$500.00","$500.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","73b253a31f51a418787506162b56a5b1","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","1516f49d2025438b299f771343bc9f83","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","1","General Pledge","$0.00","$750.00","$955.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","104","Outreach Agency","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","018ea81ee466b35e24bb316eb84524e2","108","Restoration & Repair Fund","$0.00","$500.00","$750.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","a0a9d9980a50efe036281f4d84aac4ad","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","cfc4be3107ab9b65eb64c25292227008","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","1","General Pledge","$4,350.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","10","Easter Offering","$100.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","11","Christmas Offering","$20.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","104","Outreach Agency","$170.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d45bb9d818d870add77fe10c936c98f9","108","Restoration & Repair Fund","$0.00","$300.00","$300.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b99139ec80136091fc05e820615c64dd","1","General Pledge","$30.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","1a7ccf8bc4592cae93bc206fad53f047","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d1fdc8e11cfe7454790cf5eca103d96a","","","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","1","General Pledge","$0.00","$1,800.00","$1,800.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","9","United Thank Offerin","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","10","Easter Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","11","Christmas Offering","$50.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","80","Daughters of the King","$35.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","104","Outreach Agency","$25.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","b4dd495421dbf877c68c41aa2e5cadee","108","Restoration & Repair Fund","$5,003.60","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","d3a1b552ea16fbb669f137fa5edf2662","1","General Pledge","$425.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","e5d1e19cb15081b754badcc6af8ed220","1","General Pledge","$0.00","$2,340.00","$2,340.00","$40.00","$0.00","$0.00","REDACTED","2010"
"REDACTED","e5d1e19cb15081b754badcc6af8ed220","10","Easter Offering","$10.00","$0.00","$0.00","$0.00","$0.00","$0.00","REDACTED","2010"
